[Thu, Sep 27 2001 - 16:00:18] ---------- UrlScan.dll Initializing ----------
[Thu, Sep 27 2001 - 16:00:18] URLs will be normalized before analysis.
[Thu, Sep 27 2001 - 16:00:18] URL normalization will be verified.
[Thu, Sep 27 2001 - 16:00:18] URLs may contain OEM, international and UTF-8 characters.
[Thu, Sep 27 2001 - 16:00:18] URLs must not contain any dot except for the file extension.
[Thu, Sep 27 2001 - 16:00:18] Only the following verbs will be allowed (case sensitive):
[Thu, Sep 27 2001 - 16:00:18] 	'GET'
[Thu, Sep 27 2001 - 23:19:36] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:37] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:37] Client at 65.65.249.122: URL contains '.' in the path. Request will be rejected.  Raw URL='/scripts/..%c1%1c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:37] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%2f../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:37] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%af../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:37] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c1%9c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:37] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35%63../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:37] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:37] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%25%35%63../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:38] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%252f../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:32] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Thu, Sep 27 2001 - 23:34:33] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Thu, Sep 27 2001 - 23:34:33] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:33] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:33] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%255c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:33] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:33] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:33] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:34] Client at 65.65.249.122: URL contains '.' in the path. Request will be rejected.  Raw URL='/scripts/..%c1%1c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:34] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%2f../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:34] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%af../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:34] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c1%9c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:34] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35%63../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:34] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:34] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%25%35%63../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:34:34] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%252f../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:43:38] Client at 65.11.52.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Thu, Sep 27 2001 - 23:43:40] Client at 65.11.52.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Thu, Sep 27 2001 - 23:43:42] Client at 65.11.52.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:43:44] Client at 65.11.52.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:44:35] Client at 65.65.74.5: URL contains extension '.ida', which is disallowed. Request will be rejected.  Raw URL='/default.ida'
[Thu, Sep 27 2001 - 23:46:37] Client at 65.65.166.225: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Thu, Sep 27 2001 - 23:46:38] Client at 65.65.166.225: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Thu, Sep 27 2001 - 23:46:38] Client at 65.65.166.225: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:46:39] Client at 65.65.166.225: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:46:39] Client at 65.65.166.225: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%255c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:46:39] Client at 65.65.166.225: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:46:43] Client at 65.65.166.225: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:46:53] Client at 65.65.166.225: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:27] Client at 65.24.99.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Sun, Sep 30 2001 - 02:56:27] Client at 65.24.99.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Sun, Sep 30 2001 - 02:56:27] Client at 65.24.99.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:27] Client at 65.24.99.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:27] Client at 65.24.99.68: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:27] Client at 65.24.99.68: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:28] Client at 65.24.99.68: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:28] Client at 65.24.99.68: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:28] Client at 65.24.99.68: URL contains '.' in the path. Request will be rejected.  Raw URL='/scripts/..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:28] Client at 65.24.99.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%2f../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:28] Client at 65.24.99.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%af../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:29] Client at 65.24.99.68: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c1%9c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:29] Client at 65.24.99.68: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35%63../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:29] Client at 65.24.99.68: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:29] Client at 65.24.99.68: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%25%35%63../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 02:56:29] Client at 65.24.99.68: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%252f../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 03:22:19] Client at 65.65.5.161: URL contains extension '.ida', which is disallowed. Request will be rejected.  Raw URL='/default.ida'
[Sun, Sep 30 2001 - 03:25:31] Client at 65.65.5.161: URL contains extension '.ida', which is disallowed. Request will be rejected.  Raw URL='/default.ida'
[Sun, Sep 30 2001 - 10:28:52] Client at 65.209.27.107: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Sun, Sep 30 2001 - 10:28:52] Client at 65.209.27.107: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Sun, Sep 30 2001 - 10:28:52] Client at 65.209.27.107: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:52] Client at 65.209.27.107: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:52] Client at 65.209.27.107: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:52] Client at 65.209.27.107: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:53] Client at 65.209.27.107: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:53] Client at 65.209.27.107: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:53] Client at 65.209.27.107: URL contains '.' in the path. Request will be rejected.  Raw URL='/scripts/..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:53] Client at 65.209.27.107: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%2f../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:53] Client at 65.209.27.107: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%af../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:53] Client at 65.209.27.107: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c1%9c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:54] Client at 65.209.27.107: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35%63../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:54] Client at 65.209.27.107: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:54] Client at 65.209.27.107: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%25%35%63../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:28:54] Client at 65.209.27.107: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%252f../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:54:47] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Sun, Sep 30 2001 - 10:54:47] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Sun, Sep 30 2001 - 10:54:48] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:54:48] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:54:48] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:54:48] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:54:48] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:54:48] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:54:48] Client at 65.65.19.201: URL contains '.' in the path. Request will be rejected.  Raw URL='/scripts/..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:54:49] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%2f../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 10:54:49] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%af../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:24] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Sun, Sep 30 2001 - 11:28:24] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Sun, Sep 30 2001 - 11:28:24] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:25] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:28] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:28] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:28] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:28] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:28] Client at 65.65.19.201: URL contains '.' in the path. Request will be rejected.  Raw URL='/scripts/..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:29] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%2f../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:29] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%af../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:29] Client at 65.65.19.201: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c1%9c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:29] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35%63../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:28:29] Client at 65.65.19.201: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:13] Client at 65.0.245.55: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Sun, Sep 30 2001 - 11:53:13] Client at 65.0.245.55: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Sun, Sep 30 2001 - 11:53:14] Client at 65.0.245.55: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:14] Client at 65.0.245.55: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:14] Client at 65.0.245.55: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:14] Client at 65.0.245.55: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:15] Client at 65.0.245.55: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:15] Client at 65.0.245.55: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:15] Client at 65.0.245.55: URL contains '.' in the path. Request will be rejected.  Raw URL='/scripts/..%c1%1c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:15] Client at 65.0.245.55: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%2f../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:16] Client at 65.0.245.55: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%af../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:16] Client at 65.0.245.55: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c1%9c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:16] Client at 65.0.245.55: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35%63../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:16] Client at 65.0.245.55: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35c../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:17] Client at 65.0.245.55: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%25%35%63../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 11:53:17] Client at 65.0.245.55: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%252f../winnt/system32/cmd.exe'
[Sun, Sep 30 2001 - 12:37:41] Client at 65.92.115.204: URL contains extension '.ida', which is disallowed. Request will be rejected.  Raw URL='/default.ida'
[Mon, Oct 01 2001 - 01:56:55] Client at 65.65.94.53: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Mon, Oct 01 2001 - 01:56:56] Client at 65.65.94.53: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Mon, Oct 01 2001 - 01:56:57] Client at 65.65.94.53: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:56:59] Client at 65.65.94.53: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:00] Client at 65.65.94.53: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%255c../winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:01] Client at 65.65.94.53: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:02] Client at 65.65.94.53: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:03] Client at 65.65.94.53: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:04] Client at 65.65.94.53: URL contains '.' in the path. Request will be rejected.  Raw URL='/scripts/..%c1%1c../winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:05] Client at 65.65.94.53: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%2f../winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:05] Client at 65.65.94.53: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c0%af../winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:06] Client at 65.65.94.53: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/..%c1%9c../winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:07] Client at 65.65.94.53: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35%63../winnt/system32/cmd.exe'
[Mon, Oct 01 2001 - 01:57:08] Client at 65.65.94.53: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%%35c../winnt/system32/cmd.exe'
