DisplayName,Name,Installation,StartType,Recommendation
Sync Host,OneSyncSvc,Only-On-Desktop-Experience,Automatic,OK-To-Disable
System Event Notification Service,SENS,Always-Installed,Automatic,Default
System Events Broker,SystemEventsBroker,Always-Installed,Automatic,Do-Not-Disable
Task Scheduler,Schedule,Always-Installed,Automatic,Default
TCP/IP NetBIOS Helper,lmhosts,Always-Installed,Manual,Default
Telephony,TapiSrv,Only-On-Desktop-Experience,Manual,Do-Not-Disable
Themes,Themes,Only-On-Desktop-Experience,Automatic,Do-Not-Disable
Tile Data model server,tiledatamodelsvc,Only-On-Desktop-Experience,Automatic,Do-Not-Disable
Time Broker,TimeBrokerSvc,Always-Installed,Manual,Do-Not-Disable
Touch Keyboard and Handwriting Panel Service,TabletInputService,Only-On-Desktop-Experience,Manual,OK-To-Disable
Update Orchestrator Service for Windows Update,UsoSvc,Always-Installed,Manual,Do-Not-Disable
UPnP Device Host,upnphost,Only-On-Desktop-Experience,Manual,OK-To-Disable
User Access Logging Service,UALSVC,Always-Installed,Automatic,Default
User Data Access,UserDataSvc,Only-On-Desktop-Experience,Manual,OK-To-Disable
User Data Storage,UnistoreSvc,Only-On-Desktop-Experience,Manual,OK-To-Disable
User Experience Virtualization Service,UevAgentService,Only-On-Desktop-Experience,Disabled,OK-To-Disable
User Manager,UserManager,Always-Installed,Automatic,Default
User Profile Service,ProfSvc,Always-Installed,Automatic,Default
Virtual Disk,vds,Always-Installed,Manual,Default
Volume Shadow Copy,VSS,Always-Installed,Manual,Default
WalletService,WalletService,Only-On-Desktop-Experience,Manual,OK-To-Disable
Windows Audio,Audiosrv,Only-On-Desktop-Experience,Manual,OK-To-Disable
Windows Audio Endpoint Builder,AudioEndpointBuilder,Only-On-Desktop-Experience,Manual,OK-To-Disable
Windows Biometric Service,WbioSrvc,Only-On-Desktop-Experience,Manual,Default
Windows Camera Frame Server,FrameServer,Only-On-Desktop-Experience,Manual,OK-To-Disable
Windows Connection Manager,Wcmsvc,Only-On-Desktop-Experience,Automatic,Default
Windows Defender Network Inspection Service,WdNisSvc,Always-Installed,Manual,Default
Windows Defender Service,WinDefend,Always-Installed,Automatic,Default
Windows Driver Foundation - User-mode Driver Framework,wudfsvc,Always-Installed,Manual,Default
Windows Encryption Provider Host Service,WEPHOSTSVC,Only-On-Desktop-Experience,Manual,Default
Windows Error Reporting Service,WerSvc,Always-Installed,Manual,Do-Not-Disable
Windows Event Collector,Wecsvc,Always-Installed,Manual,Do-Not-Disable
Windows Event Log,EventLog,Always-Installed,Automatic,Default
Windows Firewall,MpsSvc,Always-Installed,Automatic,Default
Windows Font Cache Service,FontCache,Always-Installed,Automatic,Default
Windows Image Acquisition (WIA),stisvc,Only-On-Desktop-Experience,Manual,OK-To-Disable
Windows Insider Service,wisvc,Always-Installed,Manual,OK-To-Disable
Windows Installer,msiserver,Always-Installed,Manual,Default
Windows License Manager Service,LicenseManager,Only-On-Desktop-Experience,Manual,Default
Windows Management Instrumentation,Winmgmt,Always-Installed,Automatic,Default
Windows Mobile Hotspot Service,icssvc,Only-On-Desktop-Experience,Manual,OK-To-Disable
Windows Modules Installer,TrustedInstaller,Always-Installed,Manual,Default
Windows Push Notifications System Service,WpnService,Only-On-Desktop-Experience,Automatic,OK-To-Disable
Windows Push Notifications User Service,WpnUserService,Only-On-Desktop-Experience,Manual,OK-To-Disable
Windows Remote Management (WS-Management),WinRM,Always-Installed,Automatic,Do-Not-Disable
Windows Search,WSearch,Only-On-Desktop-Experience,Disabled,OK-To-Disable
Windows Time,W32Time,Always-Installed,Automatic,Default
Windows Update,wuauserv,Always-Installed,Manual,Default
WinHTTP Web Proxy Auto-Discovery Service,WinHttpAutoProxySvc,Always-Installed,Manual,Do-Not-Disable
Wired AutoConfig,dot3svc,Only-On-Desktop-Experience,Manual,Default
WMI Performance Adapter,wmiApSrv,Always-Installed,Manual,Default
Workstation,LanmanWorkstation,Always-Installed,Automatic,Default
Xbox Live Auth Manager,XblAuthManager,Only-On-Desktop-Experience,Manual,OK-To-Disable
Xbox Live Game Save,XblGameSave,Only-On-Desktop-Experience,Manual,OK-To-Disable
